"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.620000000E2,3.799999878E-2,8.420000076E-1,8.043999672E0
3.630000000E2,0.000000000E0,1.529999971E-1,8.427000046E0
3.640000000E2,-7.269999981E-1,-8.420000076E-1,1.034300041E1
3.650000000E2,1.529999971E-1,1.302000046E0,1.087899971E1
3.660000000E2,6.119999886E-1,1.340000033E0,8.581000328E0
3.670000000E2,2.680000067E-1,7.659999728E-1,8.503999710E0
3.680000000E2,1.529999971E-1,-1.302000046E0,9.307999611E0
3.690000000E2,2.290000021E-1,4.210000038E-1,1.015100002E1
3.700000000E2,-1.140000001E-1,1.187000036E0,1.072599983E1
3.710000000E2,-1.140000001E-1,2.144999981E0,9.883000374E0
3.720000000E2,1.909999996E-1,1.264000058E0,8.772000313E0
3.730000000E2,3.799999878E-2,1.072000027E0,8.043999672E0
3.740000000E2,-4.589999914E-1,9.959999919E-1,8.619000435E0
3.750000000E2,-2.290000021E-1,1.570000052E0,1.172200012E1
3.760000000E2,3.799999878E-2,1.914999962E0,9.729999542E0
3.770000000E2,2.680000067E-1,1.340000033E0,8.274000168E0
3.780000000E2,3.059999943E-1,-4.589999914E-1,8.925000191E0
3.790000000E2,6.119999886E-1,5.360000134E-1,1.026599979E1
3.800000000E2,1.909999996E-1,4.589999914E-1,1.133899975E1
3.810000000E2,-3.440000117E-1,1.531999946E0,9.347000122E0
3.820000000E2,-1.909999996E-1,1.225000024E0,8.541999817E0
3.830000000E2,-3.059999943E-1,2.680000067E-1,8.388999939E0
3.840000000E2,-1.140000001E-1,-6.890000105E-1,1.053400040E1
3.850000000E2,1.909999996E-1,9.570000172E-1,1.133899975E1
3.860000000E2,6.119999886E-1,1.110000014E0,1.026599979E1
3.870000000E2,4.589999914E-1,9.959999919E-1,8.312000275E0
3.880000000E2,-1.140000001E-1,-1.140000001E-1,9.001999855E0
3.890000000E2,7.659999728E-1,1.909999996E-1,9.270000458E0
3.900000000E2,3.440000117E-1,-1.225000024E0,1.237300014E1
3.910000000E2,-3.829999864E-1,1.072000027E0,1.026599979E1
3.920000000E2,-3.059999943E-1,6.510000229E-1,9.116999626E0
3.930000000E2,-1.140000001E-1,1.909999996E-1,8.388999939E0
3.940000000E2,3.799999878E-2,7.659999728E-1,7.431000233E0
3.950000000E2,-9.570000172E-1,-6.119999886E-1,9.729999542E0
3.960000000E2,1.529999971E-1,2.290000021E-1,1.191300011E1
3.970000000E2,5.360000134E-1,6.890000105E-1,1.064900017E1
3.980000000E2,7.599999756E-2,6.510000229E-1,9.116999626E0
3.990000000E2,2.290000021E-1,8.040000200E-1,8.121000290E0
4.000000000E2,3.799999878E-2,1.140000001E-1,8.465999603E0
4.010000000E2,5.360000134E-1,-4.589999914E-1,9.270000458E0
4.020000000E2,3.059999943E-1,-3.799999878E-2,1.191300011E1
4.030000000E2,0.000000000E0,8.040000200E-1,1.015100002E1
4.040000000E2,2.680000067E-1,1.140000001E-1,1.130099964E1
4.050000000E2,-1.909999996E-1,8.420000076E-1,1.003600025E1
4.060000000E2,3.059999943E-1,5.360000134E-1,8.656999588E0
4.070000000E2,1.140000001E-1,1.072000027E0,7.202000141E0
4.080000000E2,1.140000001E-1,-4.979999959E-1,9.154999733E0
4.090000000E2,2.680000067E-1,-1.187000036E0,1.034300041E1
4.100000000E2,5.740000010E-1,4.589999914E-1,1.179899979E1
4.110000000E2,-3.799999878E-2,1.909999996E-1,9.461999893E0
4.120000000E2,1.140000001E-1,3.059999943E-1,8.312000275E0
4.130000000E2,3.059999943E-1,3.059999943E-1,8.925000191E0
4.140000000E2,-2.680000067E-1,-4.979999959E-1,8.503999710E0
4.150000000E2,6.890000105E-1,1.034000039E0,1.152999973E1
4.160000000E2,8.809999824E-1,5.360000134E-1,9.538000107E0
4.170000000E2,4.589999914E-1,9.190000296E-1,6.933000088E0
4.180000000E2,1.034000039E0,-2.680000067E-1,8.810000420E0
4.190000000E2,4.979999959E-1,7.659999728E-1,1.057299995E1
4.200000000E2,1.140000001E-1,6.510000229E-1,1.064900017E1
4.210000000E2,1.140000001E-1,8.420000076E-1,8.274000168E0
4.220000000E2,3.440000117E-1,-5.360000134E-1,9.500000000E0
4.230000000E2,-5.740000010E-1,-9.190000296E-1,1.130099964E1
4.240000000E2,-1.140000001E-1,1.608000040E0,1.114700031E1
4.250000000E2,-1.140000001E-1,2.528000116E0,1.030500031E1
4.260000000E2,2.680000067E-1,1.455000043E0,9.001999855E0
4.270000000E2,-3.799999878E-2,1.570000052E0,7.890999794E0
4.280000000E2,-3.799999878E-2,6.890000105E-1,9.116999626E0
4.290000000E2,-3.799999878E-2,9.190000296E-1,1.126200008E1
4.300000000E2,7.599999756E-2,1.608000040E0,9.729999542E0
4.310000000E2,3.829999864E-1,1.302000046E0,7.776000023E0
4.320000000E2,-9.570000172E-1,1.140000001E-1,9.423000336E0
4.330000000E2,-6.510000229E-1,-2.680000067E-1,9.347000122E0
4.340000000E2,-4.210000038E-1,1.034000039E0,1.233500004E1
4.350000000E2,4.589999914E-1,1.952999949E0,9.500000000E0
4.360000000E2,3.440000117E-1,8.040000200E-1,8.043999672E0
4.370000000E2,-3.799999878E-2,1.529999971E-1,8.772000313E0
4.380000000E2,2.680000067E-1,-1.140000001E-1,1.053400040E1
4.390000000E2,-2.290000021E-1,4.979999959E-1,1.156900024E1
4.400000000E2,2.290000021E-1,1.264000058E0,9.500000000E0
4.410000000E2,-3.829999864E-1,9.190000296E-1,8.887000084E0
4.420000000E2,-2.290000021E-1,3.799999878E-2,9.116999626E0
4.430000000E2,-6.890000105E-1,-3.059999943E-1,1.068799973E1
4.440000000E2,1.034000039E0,6.890000105E-1,1.072599983E1
4.450000000E2,7.659999728E-1,7.269999981E-1,9.998000145E0
4.460000000E2,4.589999914E-1,4.210000038E-1,7.928999901E0
4.470000000E2,9.190000296E-1,7.269999981E-1,8.581000328E0
4.480000000E2,8.040000200E-1,-1.140000001E-1,1.068799973E1
4.490000000E2,-4.210000038E-1,1.264000058E0,9.767999649E0
4.500000000E2,2.680000067E-1,7.269999981E-1,8.581000328E0
4.510000000E2,-6.119999886E-1,7.269999981E-1,8.503999710E0
4.520000000E2,7.599999756E-2,-1.684999943E0,1.225800037E1
4.530000000E2,7.269999981E-1,8.809999824E-1,1.183699989E1
4.540000000E2,6.890000105E-1,1.264000058E0,8.887000084E0
4.550000000E2,3.059999943E-1,9.190000296E-1,8.121000290E0
4.560000000E2,1.149000049E0,-7.599999756E-2,7.967999935E0
4.570000000E2,4.210000038E-1,-7.269999981E-1,1.160700035E1
4.580000000E2,-6.510000229E-1,1.302000046E0,1.011299992E1
4.590000000E2,1.909999996E-1,2.290000021E-1,8.887000084E0
4.600000000E2,-2.680000067E-1,-1.909999996E-1,8.465999603E0
4.610000000E2,4.979999959E-1,-1.531999946E0,1.087899971E1
4.620000000E2,-4.589999914E-1,1.914999962E0,1.348400021E1
4.630000000E2,1.909999996E-1,4.589999914E-1,9.920999527E0
4.640000000E2,-3.059999943E-1,8.420000076E-1,8.350999832E0
4.650000000E2,3.059999943E-1,-3.799999878E-2,8.810000420E0
4.660000000E2,0.000000000E0,-1.529999971E-1,1.118599987E1
4.670000000E2,-3.440000117E-1,1.110000014E0,1.126200008E1
4.680000000E2,-6.119999886E-1,1.149000049E0,9.845000267E0
4.690000000E2,-6.510000229E-1,5.360000134E-1,8.005999565E0
4.700000000E2,-1.570000052E0,-5.360000134E-1,1.026599979E1
4.710000000E2,-4.589999914E-1,9.190000296E-1,1.145400047E1
4.720000000E2,7.599999756E-2,5.360000134E-1,9.729999542E0
4.730000000E2,-6.510000229E-1,1.570000052E0,8.005999565E0
4.740000000E2,5.360000134E-1,-1.140000001E-1,9.154999733E0
4.750000000E2,-3.799999878E-2,-3.799999878E-2,1.176000023E1
4.760000000E2,-6.510000229E-1,1.531999946E0,9.652999878E0
4.770000000E2,3.440000117E-1,9.190000296E-1,7.737999916E0
4.780000000E2,-1.909999996E-1,5.740000010E-1,8.121000290E0
4.790000000E2,-1.264000058E0,2.680000067E-1,1.126200008E1
4.800000000E2,5.740000010E-1,1.646999955E0,9.307999611E0
4.810000000E2,-4.589999914E-1,1.531999946E0,8.159000397E0
4.820000000E2,9.959999919E-1,-2.290000021E-1,1.068799973E1
4.830000000E2,-3.059999943E-1,1.034000039E0,1.091699982E1
4.840000000E2,-2.680000067E-1,1.378999949E0,9.729999542E0
4.850000000E2,-7.599999756E-2,1.264000058E0,8.159000397E0
4.860000000E2,4.210000038E-1,7.599999756E-2,8.465999603E0
4.870000000E2,-4.589999914E-1,4.210000038E-1,1.176000023E1
4.880000000E2,3.059999943E-1,1.723000050E0,9.461999893E0
4.890000000E2,2.680000067E-1,1.225000024E0,7.890999794E0
4.900000000E2,7.599999756E-2,-3.440000117E-1,9.538000107E0
4.910000000E2,0.000000000E0,-5.740000010E-1,1.110900021E1
4.920000000E2,-1.149000049E0,1.110000014E0,1.107100010E1
4.930000000E2,-5.740000010E-1,1.531999946E0,9.001999855E0
4.940000000E2,-9.959999919E-1,4.210000038E-1,9.538000107E0
4.950000000E2,-1.187000036E0,1.072000027E0,9.232000351E0
4.960000000E2,2.290000021E-1,3.829999864E-1,1.183699989E1
4.970000000E2,3.059999943E-1,9.570000172E-1,9.845000267E0
4.980000000E2,1.909999996E-1,9.570000172E-1,8.772000313E0
4.990000000E2,4.589999914E-1,-2.680000067E-1,9.767999649E0
5.000000000E2,3.829999864E-1,3.440000117E-1,9.998000145E0
5.010000000E2,-5.360000134E-1,1.110000014E0,1.087899971E1
5.020000000E2,-2.680000067E-1,1.531999946E0,9.692000389E0
5.030000000E2,-3.440000117E-1,8.040000200E-1,9.692000389E0
5.040000000E2,-1.529999971E-1,5.740000010E-1,7.277999878E0
5.050000000E2,-1.529999971E-1,-2.680000067E-1,8.656999588E0
5.060000000E2,-7.269999981E-1,-1.529999971E-1,9.960000038E0
5.070000000E2,-3.829999864E-1,-4.979999959E-1,1.290900040E1
5.080000000E2,1.909999996E-1,1.264000058E0,1.080300045E1
5.090000000E2,0.000000000E0,1.034000039E0,9.692000389E0
5.100000000E2,-3.059999943E-1,1.378999949E0,8.197999954E0
5.110000000E2,2.680000067E-1,-3.799999878E-2,9.116999626E0
5.120000000E2,3.059999943E-1,-9.190000296E-1,1.068799973E1
5.130000000E2,-2.290000021E-1,1.072000027E0,1.130099964E1
5.140000000E2,-4.210000038E-1,1.187000036E0,9.807000160E0
5.150000000E2,-2.290000021E-1,7.659999728E-1,8.197999954E0
5.160000000E2,4.210000038E-1,9.190000296E-1,7.623000145E0
5.170000000E2,-1.909999996E-1,2.290000021E-1,7.585000038E0
5.180000000E2,-4.979999959E-1,9.190000296E-1,1.122399998E1
5.190000000E2,4.979999959E-1,9.190000296E-1,1.030500031E1
5.200000000E2,1.529999971E-1,6.119999886E-1,9.270000458E0
5.210000000E2,-7.599999756E-2,8.040000200E-1,7.699999809E0
5.220000000E2,3.799999878E-2,-7.269999981E-1,9.232000351E0
5.230000000E2,4.979999959E-1,-2.290000021E-1,1.049600029E1
5.240000000E2,-1.140000001E-1,3.440000117E-1,1.152999973E1
5.250000000E2,-1.529999971E-1,6.510000229E-1,9.232000351E0
5.260000000E2,-2.290000021E-1,9.190000296E-1,7.699999809E0
5.270000000E2,3.799999878E-2,0.000000000E0,8.503999710E0
5.280000000E2,-7.659999728E-1,-1.187000036E0,1.130099964E1
5.290000000E2,2.680000067E-1,8.420000076E-1,1.095600033E1
5.300000000E2,3.799999878E-2,9.190000296E-1,9.845000267E0
5.310000000E2,3.829999864E-1,9.959999919E-1,7.202000141E0
5.320000000E2,5.360000134E-1,1.140000001E-1,8.810000420E0
5.330000000E2,6.119999886E-1,-1.529999971E-1,8.388999939E0
5.340000000E2,1.225000024E0,-5.360000134E-1,9.385000229E0
5.350000000E2,3.829999864E-1,5.740000010E-1,1.110900021E1
5.360000000E2,-1.140000001E-1,8.809999824E-1,1.015100002E1
5.370000000E2,1.140000001E-1,1.723000050E0,1.003600025E1
5.380000000E2,2.290000021E-1,9.959999919E-1,8.465999603E0
5.390000000E2,-1.140000001E-1,-4.210000038E-1,9.614999771E0
5.400000000E2,-9.570000172E-1,-7.269999981E-1,9.461999893E0
5.410000000E2,-4.210000038E-1,8.040000200E-1,1.064900017E1
5.420000000E2,-4.979999959E-1,6.119999886E-1,1.126200008E1
5.430000000E2,-3.799999878E-2,1.570000052E0,9.652999878E0
5.440000000E2,4.210000038E-1,8.809999824E-1,8.696000099E0
5.450000000E2,-2.290000021E-1,1.914999962E0,6.972000122E0
5.460000000E2,0.000000000E0,1.140000001E-1,9.001999855E0
5.470000000E2,7.269999981E-1,8.420000076E-1,1.026599979E1
5.480000000E2,2.680000067E-1,3.059999943E-1,1.233500004E1
