"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.373177497E2,-1.193230833E1,-7.707676000E1,9.046905864E1,1.167389989E0,7.912000275E1,2.700000048E0,0.000000000E0
1.383131844E2,-1.193230833E1,-7.707674833E1,9.036892888E1,1.143198013E0,8.555999756E1,2.700000048E0,0.000000000E0
1.393054705E2,-1.193230667E1,-7.707674000E1,9.036882829E1,1.058783650E0,8.230999756E1,2.700000048E0,0.000000000E0
1.403184291E2,-1.193230500E1,-7.707673333E1,9.036874623E1,1.017605782E0,8.673000336E1,2.799999952E0,0.000000000E0
1.413137769E2,-1.193230333E1,-7.707672333E1,9.026862709E1,1.014517546E0,8.506999969E1,2.799999952E0,0.000000000E0
1.423130335E2,-1.193230167E1,-7.707671333E1,9.026850796E1,1.013488054E0,8.018000031E1,2.799999952E0,0.000000000E0
1.433121322E2,-1.193229833E1,-7.707669833E1,9.016832531E1,1.113344193E0,7.893000031E1,2.799999952E0,0.000000000E0
1.443099613E2,-1.193229333E1,-7.707668667E1,9.016817181E1,1.188493609E0,7.501999664E1,2.799999952E0,0.000000000E0
1.453097258E2,-1.193229000E1,-7.707668167E1,9.006810038E1,0.000000000E0,7.473999786E1,2.900000095E0,0.000000000E0
1.463112242E2,-1.193228667E1,-7.707667000E1,9.006795479E1,0.000000000E0,7.436000061E1,2.900000095E0,0.000000000E0
1.473122948E2,-1.193228333E1,-7.707666000E1,8.996782775E1,0.000000000E0,7.244999695E1,2.900000095E0,0.000000000E0
1.483099267E2,-1.193227833E1,-7.707665000E1,8.996769279E1,1.123123884E0,7.233000183E1,3.000000000E0,0.000000000E0
1.493100966E2,-1.193227333E1,-7.707664333E1,8.986759491E1,1.092240572E0,6.633000183E1,3.000000000E0,0.000000000E0
1.503099595E2,-1.193227333E1,-7.707663333E1,8.986748369E1,1.052092195E0,7.052999878E1,3.000000000E0,0.000000000E0
1.513100065E2,-1.193227167E1,-7.707662333E1,8.976736455E1,1.030473948E0,7.016000366E1,2.900000095E0,0.000000000E0
1.523097557E2,-1.193227000E1,-7.707661833E1,8.976730103E1,9.589275122E-1,6.966000366E1,2.900000095E0,0.000000000E0
1.533104413E2,-1.193226833E1,-7.707660833E1,8.966718190E1,9.738544226E-1,7.004000092E1,2.900000095E0,0.000000000E0
1.543168365E2,-1.193226667E1,-7.707660167E1,8.966709984E1,9.506919384E-1,6.984999847E1,2.900000095E0,0.000000000E0
1.553108849E2,-1.193226333E1,-7.707659500E1,8.966700987E1,9.717955589E-1,6.433000183E1,3.000000000E0,0.000000000E0
1.563089719E2,-1.193226333E1,-7.707658667E1,8.956691718E1,9.321619272E-1,7.448999786E1,3.000000000E0,0.000000000E0
1.573165555E2,-1.193226167E1,-7.707657833E1,8.956681659E1,9.388533235E-1,7.425000000E1,3.000000000E0,0.000000000E0
1.583112265E2,-1.193225667E1,-7.707657333E1,8.946673724E1,9.033374786E-1,6.856999969E1,3.000000000E0,0.000000000E0
1.593127002E2,-1.193225333E1,-7.707656833E1,8.946666580E1,8.981902599E-1,6.656999969E1,3.000000000E0,0.000000000E0
1.603087714E2,-1.193225167E1,-7.707655833E1,8.936654667E1,9.419416785E-1,6.723000336E1,3.000000000E0,0.000000000E0
1.613090010E2,-1.193225000E1,-7.707654833E1,8.936642754E1,9.326766729E-1,7.412999725E1,3.099999905E0,0.000000000E0
1.623087583E2,-1.193224667E1,-7.707654167E1,8.936633757E1,0.000000000E0,7.458999634E1,3.099999905E0,0.000000000E0
1.633087451E2,-1.193224333E1,-7.707653333E1,8.936622906E1,0.000000000E0,7.356999969E1,3.099999905E0,0.000000000E0
1.643087459E2,-1.193224167E1,-7.707652500E1,8.926612846E1,8.889252543E-1,7.490000153E1,3.099999905E0,0.000000000E0
1.653105597E2,-1.193223833E1,-7.707651667E1,8.926601995E1,9.151760936E-1,7.405999756E1,3.099999905E0,0.000000000E0
1.663104760E2,-1.193223667E1,-7.707650333E1,8.916586375E1,1.070622206E0,7.513999939E1,3.099999905E0,0.000000000E0
1.673085851E2,-1.193223500E1,-7.707649167E1,8.916572608E1,0.000000000E0,7.572000122E1,3.099999905E0,0.000000000E0
1.683135410E2,-1.193223333E1,-7.707648000E1,8.906558841E1,1.010914445E0,7.766999817E1,3.099999905E0,0.000000000E0
1.693106705E2,-1.193223500E1,-7.707646833E1,8.906546656E1,0.000000000E0,8.445999908E1,3.099999905E0,0.000000000E0
1.703086514E2,-1.193223167E1,-7.707645667E1,8.906532098E1,1.044886112E0,8.098000336E1,3.099999905E0,0.000000000E0
1.713104359E2,-1.193223000E1,-7.707644833E1,8.906522038E1,1.021723628E0,7.933999634E1,3.000000000E0,0.000000000E0
1.723089751E2,-1.193222500E1,-7.707644000E1,8.906510396E1,9.995905757E-1,7.350000000E1,3.000000000E0,0.000000000E0
1.733167905E2,-1.193222500E1,-7.707642500E1,8.906493713E1,1.013488054E0,7.875000000E1,2.900000095E0,0.000000000E0
1.743114282E2,-1.193222500E1,-7.707641333E1,8.906480737E1,1.032532811E0,7.994999695E1,2.900000095E0,0.000000000E0
1.753089194E2,-1.193222500E1,-7.707639667E1,8.896462201E1,1.147315860E0,8.315000153E1,2.900000095E0,0.000000000E0
1.763167581E2,-1.193222667E1,-7.707638333E1,8.896448163E1,1.134447813E0,8.476000214E1,2.900000095E0,0.000000000E0
1.773104979E2,-1.193222500E1,-7.707637167E1,8.896434396E1,1.102020264E0,8.166999817E1,2.799999952E0,0.000000000E0
1.783125232E2,-1.193222333E1,-7.707635833E1,8.886418775E1,1.061357260E0,8.087999725E1,2.799999952E0,0.000000000E0
1.793113965E2,-1.193222500E1,-7.707634833E1,8.886408444E1,1.084004998E0,8.048000336E1,2.799999952E0,0.000000000E0
